id,name,q,r,terrain,icon,colour,description
1000,"Unnamed",0,0,"Unexplored","None","rgb(0, 0, 102)",""
1001,"Unnamed",0,1,"Unexplored","None","rgb(0, 3, 102)",""
1002,"Unnamed",0,2,"Unexplored","None","rgb(0, 6, 102)",""
1003,"Unnamed",0,3,"Unexplored","None","rgb(0, 9, 102)",""
1004,"Unnamed",0,4,"Unexplored","None","rgb(0, 12, 102)",""
1005,"Unnamed",0,5,"Unexplored","None","rgb(0, 15, 102)",""
1006,"Unnamed",0,6,"Unexplored","None","rgb(0, 18, 102)",""
1007,"Unnamed",0,7,"Unexplored","None","rgb(0, 21, 102)",""
1008,"Unnamed",0,8,"Unexplored","None","rgb(0, 24, 102)",""
1009,"Unnamed",0,9,"Unexplored","None","rgb(0, 27, 102)",""
1010,"Unnamed",0,10,"Unexplored","None","rgb(0, 30, 102)",""
1011,"Unnamed",0,11,"Unexplored","None","rgb(0, 33, 102)",""
1012,"Unnamed",0,12,"Unexplored","None","rgb(0, 36, 102)",""
1013,"Unnamed",0,13,"Unexplored","None","rgb(0, 39, 102)",""
1014,"Unnamed",0,14,"Unexplored","None","rgb(0, 42, 102)",""
1015,"Unnamed",0,15,"Unexplored","None","rgb(0, 45, 102)",""
1016,"Unnamed",0,16,"Unexplored","None","rgb(0, 48, 102)",""
1017,"Unnamed",0,17,"Unexplored","None","rgb(0, 51, 102)",""
1018,"Unnamed",0,18,"Unexplored","None","rgb(0, 54, 102)",""
1019,"Unnamed",0,19,"Unexplored","None","rgb(0, 57, 102)",""
1020,"Unnamed",0,20,"Unexplored","None","rgb(0, 60, 102)",""
1021,"Unnamed",0,21,"Unexplored","None","rgb(0, 63, 102)",""
1022,"Unnamed",0,22,"Unexplored","None","rgb(0, 66, 102)",""
1023,"Unnamed",0,23,"Unexplored","None","rgb(0, 69, 102)",""
1024,"Unnamed",0,24,"Unexplored","None","rgb(0, 72, 102)",""
1025,"Unnamed",0,25,"Unexplored","None","rgb(0, 75, 102)",""
1026,"Unnamed",0,26,"Unexplored","None","rgb(0, 78, 102)",""
1027,"Unnamed",0,27,"Unexplored","None","rgb(0, 81, 102)",""
1028,"Unnamed",0,28,"Unexplored","None","rgb(0, 84, 102)",""
1029,"Unnamed",0,29,"Unexplored","None","rgb(0, 87, 102)",""
1030,"Unnamed",0,30,"Unexplored","None","rgb(0, 90, 102)",""
1031,"Unnamed",0,31,"Unexplored","None","rgb(0, 93, 102)",""
1032,"Unnamed",0,32,"Unexplored","None","rgb(0, 96, 102)",""
1033,"Unnamed",0,33,"Unexplored","None","rgb(0, 99, 102)",""
1034,"Unnamed",0,34,"Unexplored","None","rgb(0, 102, 102)",""
1035,"Unnamed",0,35,"Unexplored","None","rgb(0, 105, 102)",""
1036,"Unnamed",0,36,"Unexplored","None","rgb(0, 108, 102)",""
1037,"Unnamed",0,37,"Unexplored","None","rgb(0, 111, 102)",""
1038,"Unnamed",0,38,"Unexplored","None","rgb(0, 114, 102)",""
1039,"Unnamed",0,39,"Unexplored","None","rgb(0, 117, 102)",""
1040,"Unnamed",0,40,"Unexplored","None","rgb(0, 120, 102)",""
1041,"Unnamed",0,41,"Unexplored","None","rgb(0, 123, 102)",""
1042,"Unnamed",0,42,"Unexplored","None","rgb(0, 126, 102)",""
1043,"Unnamed",1,0,"Unexplored","None","rgb(5, 0, 102)",""
1044,"Unnamed",1,1,"Unexplored","None","rgb(5, 3, 102)",""
1045,"Unnamed",1,2,"Unexplored","None","rgb(5, 6, 102)",""
1046,"Unnamed",1,3,"Unexplored","None","rgb(5, 9, 102)",""
1047,"Unnamed",1,4,"Unexplored","None","rgb(5, 12, 102)",""
1048,"Unnamed",1,5,"Unexplored","None","rgb(5, 15, 102)",""
1049,"Unnamed",1,6,"Unexplored","None","rgb(5, 18, 102)",""
1050,"Unnamed",1,7,"Unexplored","None","rgb(5, 21, 102)",""
1051,"Unnamed",1,8,"Unexplored","None","rgb(5, 24, 102)",""
1052,"Unnamed",1,9,"Unexplored","None","rgb(5, 27, 102)",""
1053,"Unnamed",1,10,"Unexplored","None","rgb(5, 30, 102)",""
1054,"Unnamed",1,11,"Unexplored","None","rgb(5, 33, 102)",""
1055,"Unnamed",1,12,"Unexplored","None","rgb(5, 36, 102)",""
1056,"Unnamed",1,13,"Unexplored","None","rgb(5, 39, 102)",""
1057,"Unnamed",1,14,"Unexplored","None","rgb(5, 42, 102)",""
1058,"Unnamed",1,15,"Unexplored","None","rgb(5, 45, 102)",""
1059,"Unnamed",1,16,"Unexplored","None","rgb(5, 48, 102)",""
1060,"Unnamed",1,17,"Unexplored","None","rgb(5, 51, 102)",""
1061,"Unnamed",1,18,"Unexplored","None","rgb(5, 54, 102)",""
1062,"Unnamed",1,19,"Unexplored","None","rgb(5, 57, 102)",""
1063,"Unnamed",1,20,"Unexplored","None","rgb(5, 60, 102)",""
1064,"Unnamed",1,21,"Unexplored","None","rgb(5, 63, 102)",""
1065,"Unnamed",1,22,"Unexplored","None","rgb(5, 66, 102)",""
1066,"Unnamed",1,23,"Unexplored","None","rgb(5, 69, 102)",""
1067,"Unnamed",1,24,"Unexplored","None","rgb(5, 72, 102)",""
1068,"Unnamed",1,25,"Unexplored","None","rgb(5, 75, 102)",""
1069,"Unnamed",1,26,"Unexplored","None","rgb(5, 78, 102)",""
1070,"Unnamed",1,27,"Unexplored","None","rgb(5, 81, 102)",""
1071,"Unnamed",1,28,"Unexplored","None","rgb(5, 84, 102)",""
1072,"Unnamed",1,29,"Unexplored","None","rgb(5, 87, 102)",""
1073,"Unnamed",1,30,"Unexplored","None","rgb(5, 90, 102)",""
1074,"Unnamed",1,31,"Unexplored","None","rgb(5, 93, 102)",""
1075,"Unnamed",1,32,"Unexplored","None","rgb(5, 96, 102)",""
1076,"Unnamed",1,33,"Unexplored","None","rgb(5, 99, 102)",""
1077,"Unnamed",1,34,"Unexplored","None","rgb(5, 102, 102)",""
1078,"Unnamed",1,35,"Unexplored","None","rgb(5, 105, 102)",""
1079,"Unnamed",1,36,"Unexplored","None","rgb(5, 108, 102)",""
1080,"Unnamed",1,37,"Unexplored","None","rgb(5, 111, 102)",""
1081,"Unnamed",1,38,"Unexplored","None","rgb(5, 114, 102)",""
1082,"Unnamed",1,39,"Unexplored","None","rgb(5, 117, 102)",""
1083,"Unnamed",1,40,"Unexplored","None","rgb(5, 120, 102)",""
1084,"Unnamed",1,41,"Unexplored","None","rgb(5, 123, 102)",""
1085,"Unnamed",1,42,"Unexplored","None","rgb(5, 126, 102)",""
1086,"Unnamed",2,0,"Unexplored","None","rgb(10, 0, 102)",""
1087,"Unnamed",2,1,"Unexplored","None","rgb(10, 3, 102)",""
1088,"Unnamed",2,2,"Unexplored","None","rgb(10, 6, 102)",""
1089,"Unnamed",2,3,"Unexplored","None","rgb(10, 9, 102)",""
1090,"Unnamed",2,4,"Unexplored","None","rgb(10, 12, 102)",""
1091,"Unnamed",2,5,"Unexplored","None","rgb(10, 15, 102)",""
1092,"Unnamed",2,6,"Unexplored","None","rgb(10, 18, 102)",""
1093,"Unnamed",2,7,"Unexplored","None","rgb(10, 21, 102)",""
1094,"Unnamed",2,8,"Unexplored","None","rgb(10, 24, 102)",""
1095,"Unnamed",2,9,"Unexplored","None","rgb(10, 27, 102)",""
1096,"Unnamed",2,10,"Unexplored","None","rgb(10, 30, 102)",""
1097,"Unnamed",2,11,"Unexplored","None","rgb(10, 33, 102)",""
1098,"Unnamed",2,12,"Unexplored","None","rgb(10, 36, 102)",""
1099,"Unnamed",2,13,"Unexplored","None","rgb(10, 39, 102)",""
1100,"Unnamed",2,14,"Unexplored","None","rgb(10, 42, 102)",""
1101,"Unnamed",2,15,"Unexplored","None","rgb(10, 45, 102)",""
1102,"Unnamed",2,16,"Unexplored","None","rgb(10, 48, 102)",""
1103,"Unnamed",2,17,"Unexplored","None","rgb(10, 51, 102)",""
1104,"Unnamed",2,18,"Unexplored","None","rgb(10, 54, 102)",""
1105,"Unnamed",2,19,"Unexplored","None","rgb(10, 57, 102)",""
1106,"Unnamed",2,20,"Unexplored","None","rgb(10, 60, 102)",""
1107,"Unnamed",2,21,"Unexplored","None","rgb(10, 63, 102)",""
1108,"Unnamed",2,22,"Unexplored","None","rgb(10, 66, 102)",""
1109,"Unnamed",2,23,"Unexplored","None","rgb(10, 69, 102)",""
1110,"Unnamed",2,24,"Unexplored","None","rgb(10, 72, 102)",""
1111,"Unnamed",2,25,"Unexplored","None","rgb(10, 75, 102)",""
1112,"Unnamed",2,26,"Unexplored","None","rgb(10, 78, 102)",""
1113,"Unnamed",2,27,"Unexplored","None","rgb(10, 81, 102)",""
1114,"Unnamed",2,28,"Unexplored","None","rgb(10, 84, 102)",""
1115,"Unnamed",2,29,"Unexplored","None","rgb(10, 87, 102)",""
1116,"Unnamed",2,30,"Unexplored","None","rgb(10, 90, 102)",""
1117,"Unnamed",2,31,"Unexplored","None","rgb(10, 93, 102)",""
1118,"Unnamed",2,32,"Unexplored","None","rgb(10, 96, 102)",""
1119,"Unnamed",2,33,"Unexplored","None","rgb(10, 99, 102)",""
1120,"Unnamed",2,34,"Unexplored","None","rgb(10, 102, 102)",""
1121,"Unnamed",2,35,"Unexplored","None","rgb(10, 105, 102)",""
1122,"Unnamed",2,36,"Unexplored","None","rgb(10, 108, 102)",""
1123,"Unnamed",2,37,"Unexplored","None","rgb(10, 111, 102)",""
1124,"Unnamed",2,38,"Unexplored","None","rgb(10, 114, 102)",""
1125,"Unnamed",2,39,"Unexplored","None","rgb(10, 117, 102)",""
1126,"Unnamed",2,40,"Unexplored","None","rgb(10, 120, 102)",""
1127,"Unnamed",2,41,"Unexplored","None","rgb(10, 123, 102)",""
1128,"Unnamed",2,42,"Unexplored","None","rgb(10, 126, 102)",""
1129,"Unnamed",3,0,"Unexplored","None","rgb(15, 0, 102)",""
1130,"Unnamed",3,1,"Unexplored","None","rgb(15, 3, 102)",""
1131,"Unnamed",3,2,"Unexplored","None","rgb(15, 6, 102)",""
1132,"Unnamed",3,3,"Unexplored","None","rgb(15, 9, 102)",""
1133,"Unnamed",3,4,"Unexplored","None","rgb(15, 12, 102)",""
1134,"Unnamed",3,5,"Unexplored","None","rgb(15, 15, 102)",""
1135,"Unnamed",3,6,"Unexplored","None","rgb(15, 18, 102)",""
1136,"Unnamed",3,7,"Unexplored","None","rgb(15, 21, 102)",""
1137,"Unnamed",3,8,"Unexplored","None","rgb(15, 24, 102)",""
1138,"Unnamed",3,9,"Unexplored","None","rgb(15, 27, 102)",""
1139,"Unnamed",3,10,"Unexplored","None","rgb(15, 30, 102)",""
1140,"Unnamed",3,11,"Unexplored","None","rgb(15, 33, 102)",""
1141,"Unnamed",3,12,"Unexplored","None","rgb(15, 36, 102)",""
1142,"Unnamed",3,13,"Unexplored","None","rgb(15, 39, 102)",""
1143,"Unnamed",3,14,"Unexplored","None","rgb(15, 42, 102)",""
1144,"Unnamed",3,15,"Unexplored","None","rgb(15, 45, 102)",""
1145,"Unnamed",3,16,"Unexplored","None","rgb(15, 48, 102)",""
1146,"Unnamed",3,17,"Unexplored","None","rgb(15, 51, 102)",""
1147,"Unnamed",3,18,"Unexplored","None","rgb(15, 54, 102)",""
1148,"Unnamed",3,19,"Unexplored","None","rgb(15, 57, 102)",""
1149,"Unnamed",3,20,"Unexplored","None","rgb(15, 60, 102)",""
1150,"Unnamed",3,21,"Unexplored","None","rgb(15, 63, 102)",""
1151,"Unnamed",3,22,"Unexplored","None","rgb(15, 66, 102)",""
1152,"Unnamed",3,23,"Unexplored","None","rgb(15, 69, 102)",""
1153,"Unnamed",3,24,"Unexplored","None","rgb(15, 72, 102)",""
1154,"Unnamed",3,25,"Unexplored","None","rgb(15, 75, 102)",""
1155,"Unnamed",3,26,"Unexplored","None","rgb(15, 78, 102)",""
1156,"Unnamed",3,27,"Unexplored","None","rgb(15, 81, 102)",""
1157,"Unnamed",3,28,"Unexplored","None","rgb(15, 84, 102)",""
1158,"Unnamed",3,29,"Unexplored","None","rgb(15, 87, 102)",""
1159,"Unnamed",3,30,"Unexplored","None","rgb(15, 90, 102)",""
1160,"Unnamed",3,31,"Unexplored","None","rgb(15, 93, 102)",""
1161,"Unnamed",3,32,"Unexplored","None","rgb(15, 96, 102)",""
1162,"Unnamed",3,33,"Unexplored","None","rgb(15, 99, 102)",""
1163,"Unnamed",3,34,"Unexplored","None","rgb(15, 102, 102)",""
1164,"Unnamed",3,35,"Unexplored","None","rgb(15, 105, 102)",""
1165,"Unnamed",3,36,"Unexplored","None","rgb(15, 108, 102)",""
1166,"Unnamed",3,37,"Unexplored","None","rgb(15, 111, 102)",""
1167,"Unnamed",3,38,"Unexplored","None","rgb(15, 114, 102)",""
1168,"Unnamed",3,39,"Unexplored","None","rgb(15, 117, 102)",""
1169,"Unnamed",3,40,"Unexplored","None","rgb(15, 120, 102)",""
1170,"Unnamed",3,41,"Unexplored","None","rgb(15, 123, 102)",""
1171,"Unnamed",3,42,"Unexplored","None","rgb(15, 126, 102)",""
1172,"Unnamed",4,0,"Unexplored","None","rgb(20, 0, 102)",""
1173,"Unnamed",4,1,"Unexplored","None","rgb(20, 3, 102)",""
1174,"Unnamed",4,2,"Unexplored","None","rgb(20, 6, 102)",""
1175,"Unnamed",4,3,"Unexplored","None","rgb(20, 9, 102)",""
1176,"Unnamed",4,4,"Unexplored","None","rgb(20, 12, 102)",""
1177,"Unnamed",4,5,"Unexplored","None","rgb(20, 15, 102)",""
1178,"Unnamed",4,6,"Unexplored","None","rgb(20, 18, 102)",""
1179,"Unnamed",4,7,"Unexplored","None","rgb(20, 21, 102)",""
1180,"Unnamed",4,8,"Unexplored","None","rgb(20, 24, 102)",""
1181,"Unnamed",4,9,"Unexplored","None","rgb(20, 27, 102)",""
1182,"Unnamed",4,10,"Unexplored","None","rgb(20, 30, 102)",""
1183,"Unnamed",4,11,"Unexplored","None","rgb(20, 33, 102)",""
1184,"Unnamed",4,12,"Unexplored","None","rgb(20, 36, 102)",""
1185,"Unnamed",4,13,"Unexplored","None","rgb(20, 39, 102)",""
1186,"Unnamed",4,14,"Unexplored","None","rgb(20, 42, 102)",""
1187,"Unnamed",4,15,"Unexplored","None","rgb(20, 45, 102)",""
1188,"Unnamed",4,16,"Unexplored","None","rgb(20, 48, 102)",""
1189,"Unnamed",4,17,"Unexplored","None","rgb(20, 51, 102)",""
1190,"Unnamed",4,18,"Unexplored","None","rgb(20, 54, 102)",""
1191,"Unnamed",4,19,"Unexplored","None","rgb(20, 57, 102)",""
1192,"Unnamed",4,20,"Unexplored","None","rgb(20, 60, 102)",""
1193,"Unnamed",4,21,"Unexplored","None","rgb(20, 63, 102)",""
1194,"Unnamed",4,22,"Unexplored","None","rgb(20, 66, 102)",""
1195,"Unnamed",4,23,"Unexplored","None","rgb(20, 69, 102)",""
1196,"Unnamed",4,24,"Unexplored","None","rgb(20, 72, 102)",""
1197,"Unnamed",4,25,"Unexplored","None","rgb(20, 75, 102)",""
1198,"Unnamed",4,26,"Unexplored","None","rgb(20, 78, 102)",""
1199,"Unnamed",4,27,"Unexplored","None","rgb(20, 81, 102)",""
1200,"Unnamed",4,28,"Unexplored","None","rgb(20, 84, 102)",""
1201,"Unnamed",4,29,"Unexplored","None","rgb(20, 87, 102)",""
1202,"Unnamed",4,30,"Unexplored","None","rgb(20, 90, 102)",""
1203,"Unnamed",4,31,"Unexplored","None","rgb(20, 93, 102)",""
1204,"Unnamed",4,32,"Unexplored","None","rgb(20, 96, 102)",""
1205,"Unnamed",4,33,"Unexplored","None","rgb(20, 99, 102)",""
1206,"Unnamed",4,34,"Unexplored","None","rgb(20, 102, 102)",""
1207,"Unnamed",4,35,"Unexplored","None","rgb(20, 105, 102)",""
1208,"Unnamed",4,36,"Unexplored","None","rgb(20, 108, 102)",""
1209,"Unnamed",4,37,"Unexplored","None","rgb(20, 111, 102)",""
1210,"Unnamed",4,38,"Unexplored","None","rgb(20, 114, 102)",""
1211,"Unnamed",4,39,"Unexplored","None","rgb(20, 117, 102)",""
1212,"Unnamed",4,40,"Unexplored","None","rgb(20, 120, 102)",""
1213,"Unnamed",4,41,"Unexplored","None","rgb(20, 123, 102)",""
1214,"Unnamed",4,42,"Unexplored","None","rgb(20, 126, 102)",""
1215,"Unnamed",5,0,"Unexplored","None","rgb(25, 0, 102)",""
1216,"Unnamed",5,1,"Unexplored","None","rgb(25, 3, 102)",""
1217,"Unnamed",5,2,"Unexplored","None","rgb(25, 6, 102)",""
1218,"Unnamed",5,3,"Unexplored","None","rgb(25, 9, 102)",""
1219,"Unnamed",5,4,"Unexplored","None","rgb(25, 12, 102)",""
1220,"Unnamed",5,5,"Unexplored","None","rgb(25, 15, 102)",""
1221,"Unnamed",5,6,"Unexplored","None","rgb(25, 18, 102)",""
1222,"Unnamed",5,7,"Unexplored","None","rgb(25, 21, 102)",""
1223,"Unnamed",5,8,"Unexplored","None","rgb(25, 24, 102)",""
1224,"Unnamed",5,9,"Unexplored","None","rgb(25, 27, 102)",""
1225,"Unnamed",5,10,"Unexplored","None","rgb(25, 30, 102)",""
1226,"Unnamed",5,11,"Unexplored","None","rgb(25, 33, 102)",""
1227,"Unnamed",5,12,"Unexplored","None","rgb(25, 36, 102)",""
1228,"Unnamed",5,13,"Unexplored","None","rgb(25, 39, 102)",""
1229,"Unnamed",5,14,"Unexplored","None","rgb(25, 42, 102)",""
1230,"Unnamed",5,15,"Unexplored","None","rgb(25, 45, 102)",""
1231,"Unnamed",5,16,"Unexplored","None","rgb(25, 48, 102)",""
1232,"Unnamed",5,17,"Unexplored","None","rgb(25, 51, 102)",""
1233,"Unnamed",5,18,"Unexplored","None","rgb(25, 54, 102)",""
1234,"Unnamed",5,19,"Unexplored","None","rgb(25, 57, 102)",""
1235,"Unnamed",5,20,"Unexplored","None","rgb(25, 60, 102)",""
1236,"Unnamed",5,21,"Unexplored","None","rgb(25, 63, 102)",""
1237,"Unnamed",5,22,"Unexplored","None","rgb(25, 66, 102)",""
1238,"Unnamed",5,23,"Unexplored","None","rgb(25, 69, 102)",""
1239,"Unnamed",5,24,"Unexplored","None","rgb(25, 72, 102)",""
1240,"Unnamed",5,25,"Unexplored","None","rgb(25, 75, 102)",""
1241,"Unnamed",5,26,"Unexplored","None","rgb(25, 78, 102)",""
1242,"Unnamed",5,27,"Unexplored","None","rgb(25, 81, 102)",""
1243,"Unnamed",5,28,"Unexplored","None","rgb(25, 84, 102)",""
1244,"Unnamed",5,29,"Unexplored","None","rgb(25, 87, 102)",""
1245,"Unnamed",5,30,"Unexplored","None","rgb(25, 90, 102)",""
1246,"Unnamed",5,31,"Unexplored","None","rgb(25, 93, 102)",""
1247,"Unnamed",5,32,"Unexplored","None","rgb(25, 96, 102)",""
1248,"Unnamed",5,33,"Unexplored","None","rgb(25, 99, 102)",""
1249,"Unnamed",5,34,"Unexplored","None","rgb(25, 102, 102)",""
1250,"Unnamed",5,35,"Unexplored","None","rgb(25, 105, 102)",""
1251,"Unnamed",5,36,"Unexplored","None","rgb(25, 108, 102)",""
1252,"Unnamed",5,37,"Unexplored","None","rgb(25, 111, 102)",""
1253,"Unnamed",5,38,"Unexplored","None","rgb(25, 114, 102)",""
1254,"Unnamed",5,39,"Unexplored","None","rgb(25, 117, 102)",""
1255,"Unnamed",5,40,"Unexplored","None","rgb(25, 120, 102)",""
1256,"Unnamed",5,41,"Unexplored","None","rgb(25, 123, 102)",""
1257,"Unnamed",5,42,"Unexplored","None","rgb(25, 126, 102)",""
1258,"Unnamed",6,0,"Unexplored","None","rgb(30, 0, 102)",""
1259,"Unnamed",6,1,"Unexplored","None","rgb(30, 3, 102)",""
1260,"Unnamed",6,2,"Unexplored","None","rgb(30, 6, 102)",""
1261,"Unnamed",6,3,"Unexplored","None","rgb(30, 9, 102)",""
1262,"Unnamed",6,4,"Unexplored","None","rgb(30, 12, 102)",""
1263,"Unnamed",6,5,"Unexplored","None","rgb(30, 15, 102)",""
1264,"Unnamed",6,6,"Unexplored","None","rgb(30, 18, 102)",""
1265,"Unnamed",6,7,"Unexplored","None","rgb(30, 21, 102)",""
1266,"Unnamed",6,8,"Unexplored","None","rgb(30, 24, 102)",""
1267,"Unnamed",6,9,"Unexplored","None","rgb(30, 27, 102)",""
1268,"Unnamed",6,10,"Unexplored","None","rgb(30, 30, 102)",""
1269,"Unnamed",6,11,"Unexplored","None","rgb(30, 33, 102)",""
1270,"Unnamed",6,12,"Unexplored","None","rgb(30, 36, 102)",""
1271,"Unnamed",6,13,"Unexplored","None","rgb(30, 39, 102)",""
1272,"Unnamed",6,14,"Unexplored","None","rgb(30, 42, 102)",""
1273,"Unnamed",6,15,"Unexplored","None","rgb(30, 45, 102)",""
1274,"Unnamed",6,16,"Unexplored","None","rgb(30, 48, 102)",""
1275,"Unnamed",6,17,"Unexplored","None","rgb(30, 51, 102)",""
1276,"Unnamed",6,18,"Unexplored","None","rgb(30, 54, 102)",""
1277,"Unnamed",6,19,"Unexplored","None","rgb(30, 57, 102)",""
1278,"Unnamed",6,20,"Unexplored","None","rgb(30, 60, 102)",""
1279,"Unnamed",6,21,"Unexplored","None","rgb(30, 63, 102)",""
1280,"Unnamed",6,22,"Unexplored","None","rgb(30, 66, 102)",""
1281,"Unnamed",6,23,"Unexplored","None","rgb(30, 69, 102)",""
1282,"Unnamed",6,24,"Unexplored","None","rgb(30, 72, 102)",""
1283,"Unnamed",6,25,"Unexplored","None","rgb(30, 75, 102)",""
1284,"Unnamed",6,26,"Unexplored","None","rgb(30, 78, 102)",""
1285,"Unnamed",6,27,"Unexplored","None","rgb(30, 81, 102)",""
1286,"Unnamed",6,28,"Unexplored","None","rgb(30, 84, 102)",""
1287,"Unnamed",6,29,"Unexplored","None","rgb(30, 87, 102)",""
1288,"Unnamed",6,30,"Unexplored","None","rgb(30, 90, 102)",""
